NO.	CORPUS.FILE	ITEM	POS	POS_BROAD	contextual_meaning	basic_meaning	METAPHOR	MUSIC_TARGET.DOMAIN	SD	CONCEPTUAL_METAPHOR_BASIS	DEICTIC_EGO	Context	comment
4852	SECM09-14_Woelfl	that	DT0	DT0			MRW-indirect	no					
4853	SECM09-14_Woelfl	of	PRF	PRP			no	no					
4854	SECM09-14_Woelfl	No.	NN1	NN0			no	no					
4855	SECM09-14_Woelfl	6	CRD	CRD			no	no					
4856	SECM09-14_Woelfl	echoes	VVZ	VV	MM2_[TRANSITIVE] to express the ideas or feelings that someone else has expressed	MM1_[INTRANSITIVE] if a noise echoes, it is repeated because the sound hits a surface and returns	MRW-indirect	yes	other			Wlfls_NP0 Piano_NN1 Concerto_NN1 No._NN1 5_CRD evokes_VVZ Zaide_NP0 (Ruhe_NP0 sanft_NN1), while_CJS that_DT0 that_DT0 of_PRF No._NN1 6_CRD echoes_VVZ Il_UNC mio_NN1 tesoro_NN1	
4857	SECM09-14_Woelfl	Il	NP0	NN0			DFMA	no					
4858	SECM09-14_Woelfl	mio	NP0	NN0			DFMA	no					
4859	SECM09-14_Woelfl	tesoro	NP0	NN0			DFMA	no					
4860	SECM09-14_Woelfl	from	PRP	PRP	source music	source spatial	no	yes				that of No. 6 echoes Il mio tesoro from Don Giovanni.	
4861	SECM09-14_Woelfl	Don	NP0	NN0	title, character		no	yes					
4862	SECM09-14_Woelfl	Giovanni.	NP0	NN0	title, character		no	yes					
4863	SECM09-14_Woelfl	Wlfl	NP0	NN0			no	no					
4864	SECM09-14_Woelfl	is	VBZ	VV	identification		no	no					
4865	SECM09-14_Woelfl	the	AT0	AT0			no	no					
4866	SECM09-14_Woelfl	missing	AJ0	AJ0	MM_if someone or something is missing, they are not where they should be and you do not know where they are	There is no more basic meaning.	MRW-direct	yes	HUMAN			Wlfl_NP0 is_VBZ the_AT0 missing_AJ0 link_NN1 between_PRP Mozarts_NP0 concertos_NN2 and_CJC the_AT0 mature_AJ0 concertos_NN2 of_PRF Hummel.	
4867	SECM09-14_Woelfl	link	NN1	NN0	MM“missing link“1_a fact or piece of information that you need in order to have complete knowledge of something; MM“link“1_a connection between two or more people, places, facts, or events, especially when one is affected or caused by the other	MM“missing link“2_the missing link an early human believed to have existed long ago that was half ape and half human; MM“link“4_one of the connecting rings in a chain	MRW-direct	yes	HUMAN			Wlfl_NP0 is_VBZ the_AT0 missing_AJ0 link_NN1 between_PRP Mozarts_NP0 concertos_NN2 and_CJC the_AT0 mature_AJ0 concertos_NN2 of_PRF Hummel.	
4867	SECM09-14_Woelfl	link	NN1	NN0	MM“missing link“1_a fact or piece of information that you need in order to have complete knowledge of something; MM“link“1_a connection between two or more people, places, facts, or events, especially when one is affected or caused by the other	MM“missing link“2_the missing link an early human believed to have existed long ago that was half ape and half human; MM“link“4_one of the connecting rings in a chain	MRW-indirect	yes	physical structure			Wlfl_NP0 is_VBZ the_AT0 missing_AJ0 link_NN1 between_PRP Mozarts_NP0 concertos_NN2 and_CJC the_AT0 mature_AJ0 concertos_NN2 of_PRF Hummel.	
4868	SECM09-14_Woelfl	between	PRP	PRP	MM4_involving people or things	MM1-with someone/something on each side or end	MRW-indirect	yes	HUMAN			Wlfl_NP0 is_VBZ the_AT0 missing_AJ0 link_NN1 between_PRP Mozarts_NP0 concertos_NN2 and_CJC the_AT0 mature_AJ0 concertos_NN2 of_PRF Hummel.	
4869	SECM09-14_Woelfl	Mozart's	NP0	NN0	proper name		no	no					
4870	SECM09-14_Woelfl	concertos	NN2	NN0	MM_a piece of music for a musical instrument and an orchestra		no	yes					
4871	SECM09-14_Woelfl	and	CJC	CJC			no	no					
4872	SECM09-14_Woelfl	the	AT0	AT0			no	no					
4873	SECM09-14_Woelfl	mature	AJ0	AJ0			MRW-indirect	yes	HUMAN			Wlfl_NP0 is_VBZ the_AT0 missing_AJ0 link_NN1 between_PRP Mozarts_NP0 concertos_NN2 and_CJC the_AT0 mature_AJ0 concertos_NN2 of_PRF Hummel.	
4874	SECM09-14_Woelfl	concertos	NN2	NN0	MM_a piece of music for a musical instrument and an orchestra		no	yes					
4875	SECM09-14_Woelfl	of	PRF	PRP			no	no					
4876	SECM09-14_Woelfl	Hummel.	NP0	NN0			no	no					
4877	TCS09-1.1_Sieck_Britten	Britten	NP0	NN0	proper name		no	no					
4878	TCS09-1.1_Sieck_Britten	employs	VVZ	VV	MM1_FORMAL to use something for a particular purpose	MM2_to pay someone regularly to do a job for you or to work as a member of your organization	MRW-indirect	yes	other			Britten_NP0 employs_VVZ the_AT0 major_AJ0 pentatonic_AJ0 scale_NN1 consistently_AV0 throughout_PRP „A_AT0 Boy_NN1 was_VBD Born_VVN“.	
4879	TCS09-1.1_Sieck_Britten	the	AT0	AT0	definite article		no	no					
4880	TCS09-1.1_Sieck_Britten	major	AJ0	AJ0	MM2_to a musical scale (=fixed series of musical notes) with semitones between the third and fourth and the seventh and eighth musical notes	MM1_important, serious, large, or great	WIDLII	yes	space				
4881	TCS09-1.1_Sieck_Britten	pentatonic	AJ0	AJ0	only in MD_A scale of five tones. It is used in Aftican, Far Eastern, and Native American music. The pentatonic scale has been used in 20th century compositions as well.	There is no more basic meaning.	no	yes					
4882	TCS09-1.1_Sieck_Britten	scale	NN1	NN0	MM5_[COUNTABLE] MUSIC a series of musical notes in a fixed order from the lowest to the highest or the highest to the lowest	MM1_[SINGULAR/UNCOUNTABLE] the size of something, especially when it is big; MM2_[COUNTABLE] [USUALLY SINGULAR] a set of people or things arranged in order from the highest level to the lowest or from the lowest level to the highest	no	no					
4883	TCS09-1.1_Sieck_Britten	consistently	AV0	AV0	MM1_not changing in behaviour, attitudes, or qualities		no	no					
4884	TCS09-1.1_Sieck_Britten	throughout	PRP	PRP	MM2_during the whole of a period of time or an event	MM1_in every part of a place	MRW-indirect	yes	motion	TIME	neutral	Britten employs the major pentatonic scale consistently throughout A Boy was Born.	duration is length + temporal progression is motion forward / situation is a mover (cf. Moore 2014)
4885	TCS09-1.1_Sieck_Britten	„A	AT0	AT0	title		no	no					
4886	TCS09-1.1_Sieck_Britten	Boy	NN1	NN0	title		no	no					
4887	TCS09-1.1_Sieck_Britten	was	VBD	VV	title		no	no					
4888	TCS09-1.1_Sieck_Britten	Born“.	VVN	VV	title		no	no					
4889	TCS09-1.1_Sieck_Britten	Figure	NN1	NN0	MM5_[COUNTABLE] a drawing in a book that gives information	MM1_numbers, MM2_important person, MM3_shape of body	no	no					
4890	TCS09-1.1_Sieck_Britten	17	CRD	CRD			no	no					
4891	TCS09-1.1_Sieck_Britten	above,	AV0	AV0	MM1_used for saying where someone/something is		no	no					
4892	TCS09-1.1_Sieck_Britten	shows	VVZ	VV	MM1_[TRANSITIVE] to let someone see something		no	no					
4893	TCS09-1.1_Sieck_Britten	the	AT0	AT0	definite article		no	no					
4894	TCS09-1.1_Sieck_Britten	running	AJ0	AJ0		MM1_[INTRANSITIVE] to move quickly to a place using your legs and feet	MRW-indirect	yes	motion	ESM / fictive motion	neutral	Figure 17, above, shows the running pentatonic scale that goes continuously for the majority of Variation IV. 	actions are self-propelled movements, fictive motion interpretation is possible because the agent of the motion refers to the whole passage (“pentatonic scale”) whose shape is described by the adjectival use of the motion verb “run”
4895	TCS09-1.1_Sieck_Britten	pentatonic	AJ0	AJ0			no	yes					
4896	TCS09-1.1_Sieck_Britten	scale	NN1	NN0			no	no					
4897	TCS09-1.1_Sieck_Britten	that	CJT	CJC	conjunction		no	no					
4898	TCS09-1.1_Sieck_Britten	goes	VVZ	VV	does it mean that in fig. 17 it is fast, and in var. 1 it is slow (it goes instead of it runs)?	MM1_[INTRANSITIVE] to move or travel to a place that is away from where you are now	MRW-indirect	yes	motion	TIME	neutral	Figure 17, above, shows the running pentatonic scale that goes continuously for the majority of Variation IV. 	Situation is a mover (Moore 2014), duration is length
4899	TCS09-1.1_Sieck_Britten	continuously	AV0	AV0	MM1_continuing without stopping or being interrupted	There is no more basic meaning.	no	yes					
4900	TCS09-1.1_Sieck_Britten	for	PRP	PRP	does it mean „in“?		no	no					
4901	TCS09-1.1_Sieck_Britten	the	AT0	AT0	definite article		no	no					
4902	TCS09-1.1_Sieck_Britten	majority	NN1	NN0	MM1_[SINGULAR] most of the people or things in a group: can be followed by a singular or plural verb		no	no					
4903	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4904	TCS09-1.1_Sieck_Britten	Variation	NN1	NN0	MM2_[COUNTABLE] something that is slightly different from similar things		no	yes					
4905	TCS09-1.1_Sieck_Britten	IV	CRD	CRD			no	no					
4906	TCS09-1.1_Sieck_Britten	Figure	NN1	NN0	MM5_[COUNTABLE] a drawing in a book that gives information	MM1_numbers, MM2_important person, MM3_shape of body	no	no					
4907	TCS09-1.1_Sieck_Britten	26	CRD	CRD			no	no					
4908	TCS09-1.1_Sieck_Britten	below,	AV0	AV0			no	no					
4909	TCS09-1.1_Sieck_Britten	shows	VVZ	VV			no	no					
4910	TCS09-1.1_Sieck_Britten	how	AVQ	AV0			no	no					
4911	TCS09-1.1_Sieck_Britten	the	AT0	AT0	definite article		no	no					
4912	TCS09-1.1_Sieck_Britten	first	ORD	ORD			no	no					
4913	TCS09-1.1_Sieck_Britten	eight	CRD	CRD			no	no					
4914	TCS09-1.1_Sieck_Britten	measures	NN2	NN0	MM5_MUSIC AMERICAN a bar in a line of printed music	MM2_an amount of a particular quality that is neither large nor small	no	yes					
4915	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4916	TCS09-1.1_Sieck_Britten	Variation	NN1	NN0			no	yes					
4917	TCS09-1.1_Sieck_Britten	III	CRD	CRD			no	no					
4918	TCS09-1.1_Sieck_Britten	can	VM0	VV	aux.		no	no					
4919	TCS09-1.1_Sieck_Britten	be	VBI	VV	aux.		no	no					
4920	TCS09-1.1_Sieck_Britten	best	AV0	AV0			no	no					
4921	TCS09-1.1_Sieck_Britten	understood	VVN	VV	MM1_[INTRANSITIVE/TRANSITIVE] to know what someone or something means	There is no more basic meaning.	no	yes					
4922	TCS09-1.1_Sieck_Britten	in	PRP	PRP	abstract	concrete	MRW-indirect	yes	container			Variation_NN1 III_CRD can_VM0 be_VBI best_AV0 understood_VVN in_PRP pentatonic_AJ0 collections_NN2	
4923	TCS09-1.1_Sieck_Britten	pentatonic	AJ0	AJ0			no	yes					
4924	TCS09-1.1_Sieck_Britten	collections	NN2	NN0	novel use, a collection of pitches	MM1_[COUNTABLE] a group of things (all examples are rather concrete)	no	yes					
4925	TCS09-1.1_Sieck_Britten	(see	VVB	VV			no	no					
4926	TCS09-1.1_Sieck_Britten	fig.	NN1	NN0	MM5_[COUNTABLE] a drawing in a book that gives information	MM1_numbers, MM2_important person, MM3_shape of body	no	no					
4927	TCS09-1.1_Sieck_Britten	26).	CRD	CRD			no	no					
4928	TCS09-1.1_Sieck_Britten	Britten's	NP0	NN0	proper name		no	no					
4929	TCS09-1.1_Sieck_Britten	use	NN1	NN0			no	no					
4930	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4931	TCS09-1.1_Sieck_Britten	the	AT0	AT0	definite article		no	no					
4932	TCS09-1.1_Sieck_Britten	major	AJ0	AJ0			WIDLII	yes	space				
4933	TCS09-1.1_Sieck_Britten	pentatonic	AJ0	AJ0			no	yes					
4934	TCS09-1.1_Sieck_Britten	collection	NN1	NN0			no	yes					
4935	TCS09-1.1_Sieck_Britten	both	AV0	AV0			no	no					
4936	TCS09-1.1_Sieck_Britten	in	PRP	PRP	musical space	concrete	MRW-indirect	yes	container			Brittens_NP0 use_NN1 of_PRF the_AT0 major_AJ0 pentatonic_AJ0 collection_NN1 both_AV0 in_PRP melodic_AJ0 and_CJC harmonic_AJ0 construction_NN1 clearly_AV0 resembles_VVZ Stravinskys_NP0 use_VVB in_PRP Petrushka_NP0.	
4937	TCS09-1.1_Sieck_Britten	melodic	AJ0	AJ0	MM2_MUSIC relating to the melody (=main tune) of a piece of music		no	yes					
4938	TCS09-1.1_Sieck_Britten	and	CJC	CJC	conjunction		no	no					
4939	TCS09-1.1_Sieck_Britten	harmonic	AJ0	AJ0	MM_relating to the way that musical notes are combined to create chords		no	yes					
4940	TCS09-1.1_Sieck_Britten	construction	NN1	NN0	MM4_[UNCOUNTABLE] FORMAL the process of creating something such as an idea or system	MM1_[UNCOUNTABLE] the process of building something large or complicated, such as a bridge or road	MRW-indirect	yes	physical structure			Brittens_NP0 use_NN1 of_PRF the_AT0 major_AJ0 pentatonic_AJ0 collection_NN1 both_AV0 in_PRP melodic_AJ0 and_CJC harmonic_AJ0 construction_NN1 clearly_AV0 resembles_VVZ Stravinskys_NP0 use_VVB in_PRP Petrushka_NP0.	
4941	TCS09-1.1_Sieck_Britten	clearly	AV0	AV0	MM1_used for showing that what you are saying is true and that most people will realize this	MM2_in a way that people can easily see, hear, or understand	MRW-indirect	yes	synaesthetic			Brittens_NP0 use_NN1 of_PRF the_AT0 major_AJ0 pentatonic_AJ0 collection_NN1 both_AV0 in_PRP melodic_AJ0 and_CJC harmonic_AJ0 construction_NN1 clearly_AV0 resembles_VVZ Stravinskys_NP0 use_VVB in_PRP Petrushka_NP0.	
4942	TCS09-1.1_Sieck_Britten	resembles	VVZ	VV	MM_[NEVER PASSIVE] to be similar to someone or something, especially in appearance		no	no					
4943	TCS09-1.1_Sieck_Britten	Stravinsky's	NP0	NN0	proper name		no	no					
4944	TCS09-1.1_Sieck_Britten	use	VVB	VV			no	no					
4945	TCS09-1.1_Sieck_Britten	in	PRP	PRP			MRW-indirect	yes	container			clearly_AV0 resembles_VVZ Stravinskys_NP0 use_VVB in_PRP Petrushka_NP0.	
4946	TCS09-1.1_Sieck_Britten	Petrushka.	NP0	NN0	title		no	no					
4947	TCS09-1.1_Sieck_Britten	Stravinsky's	NP0	NN0			no	no					
4948	TCS09-1.1_Sieck_Britten	use	NN1	NN0			no	no					
4949	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4950	TCS09-1.1_Sieck_Britten	ostinato	NN1	NN0	only in MD_A short melodic, rhythmic, or harmonic pattern that is repeated throughout an entire composition or some portion of a composition.	There is no more basic meaning.	no	yes					
4951	TCS09-1.1_Sieck_Britten	is	VBZ	VV	identification		no	no					
4952	TCS09-1.1_Sieck_Britten	in	PRP	PRP	phrase_in itself/of itself. used for emphasizing that what you are saying about one particular thing is true without even considering anything else	space	MRW-indirect	no					
4953	TCS09-1.1_Sieck_Britten	itself	PNX	PNP	phrase_in itself/of itself. used for emphasizing that what you are saying about one particular thing is true without even considering anything else		no	no					
4954	TCS09-1.1_Sieck_Britten	the	AT0	AT0			no	no					
4955	TCS09-1.1_Sieck_Britten	subject	NN1	NN0	MM1_an idea, problem, situation etc that you discuss or write about	MM4-6_a person	MRW-indirect	no					
4956	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4957	TCS09-1.1_Sieck_Britten	multiple	AJ0	AJ0	MM_involving or consisting of many people, things, or parts		no	no					
4958	TCS09-1.1_Sieck_Britten	articles	NN2	NN0	MM1_[COUNTABLE] a piece of writing about a particular subject that is published in a newspaper or magazine	MM2_object	no	no					
4959	TCS09-1.1_Sieck_Britten	and	CJC	CJC	conjunction		no	no					
4960	TCS09-1.1_Sieck_Britten	dissertations,	NN2	NN0	MM_a long piece of writing on a particular subject that you do as part of a university degree		no	no					
4961	TCS09-1.1_Sieck_Britten	and	CJC	CJC	conjunction		no	no					
4962	TCS09-1.1_Sieck_Britten	a	AT0	AT0	indefinite article		no	no					
4963	TCS09-1.1_Sieck_Britten	detailed	AJ0	AJ0	MM_including many small facts or aspects		no	no					
4964	TCS09-1.1_Sieck_Britten	discussion	NN1	NN0	MM1_[COUNTABLE] a conversation about something, usually something important		no	no					
4965	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4966	TCS09-1.1_Sieck_Britten	the	AT0	AT0			no	no					
4967	TCS09-1.1_Sieck_Britten	subject	NN1	NN0			MRW-indirect	no					
4968	TCS09-1.1_Sieck_Britten	is	VBZ	VV			no	no					
4969	TCS09-1.1_Sieck_Britten	beyond	PRP	PRP	MM2_outside the range or limits of a subject, quality, or activity	MM1_past a place or outside an area	MRW-indirect	no					
4970	TCS09-1.1_Sieck_Britten	the	AT0	AT0			no	no					
4971	TCS09-1.1_Sieck_Britten	scope	NN1	NN0	MM1_the things that a particular activity, organization, subject, etc deals with	There is no more basic meaning.	no	no					
4972	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4973	TCS09-1.1_Sieck_Britten	this	DT0	DT0	abstract	concrete	MRW-indirect	no					
4974	TCS09-1.1_Sieck_Britten	work.	NN1	NN0	MM4a_[COUNTABLE/UNCOUNTABLE] something produced by a writer, painter, musician, or other artist		no	no					
4975	TCS09-1.1_Sieck_Britten	I	PNP	PNP			no	no					
4976	TCS09-1.1_Sieck_Britten	recommend	VVB	VV	MM2_to say that someone or something is good and worth using, having, or experiencing		no	no					
4977	TCS09-1.1_Sieck_Britten	in particular	AV0	AV0	MM1_especially		no	no					
4978	TCS09-1.1_Sieck_Britten	Gretchen	NP0	NN0	proper name		no	no					
4979	TCS09-1.1_Sieck_Britten	Horlacher's	NP0	NN0	proper name		no	no					
4980	TCS09-1.1_Sieck_Britten	article	NN1	NN0			no	no					
4981	TCS09-1.1_Sieck_Britten	„The	AT0	AT0			no	no					
4982	TCS09-1.1_Sieck_Britten	Rhythms	NN2	NN0	MM2_[COUNTABLE/UNCOUNTABLE] MUSIC a regular pattern of sounds in music that you can show by moving, hitting your hands together, or hitting a drum or other surface		no	yes					
4983	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
4984	TCS09-1.1_Sieck_Britten	Reiteration	NN1	NN0	MM_to repeat something in order to emphasize it or make it very clear to people		no	no					
4985	TCS09-1.1_Sieck_Britten	Formal	AJ0	AJ0	MM4_[USUALLY BEFORE NOUN] relating to the form or structure of something such as a piece of writing, art, or music		no	yes					
4986	TCS09-1.1_Sieck_Britten	Development	NN1	NN0	MM1_[UNCOUNTABLE] change, growth, or improvement over a period of time		no	yes					
4987	TCS09-1.1_Sieck_Britten	in	PRP	PRP			MRW-indirect	yes	container			Formal_AJ0 Development_NN1 in_PRP Stravinskys_NP0 Ostinati_NN1“,	
4988	TCS09-1.1_Sieck_Britten	Stravinsky's	NP0	NN0			no	no					
4989	TCS09-1.1_Sieck_Britten	Ostinati“,	NN1	NN0			no	yes					
4990	TCS09-1.1_Sieck_Britten	in	PRP	PRP	in writing	in a place	MRW-indirect	no					
4991	TCS09-1.1_Sieck_Britten	which	DTQ	DT0	„article“		no	no					
4992	TCS09-1.1_Sieck_Britten	she	PNP	PNP			no	no					
4993	TCS09-1.1_Sieck_Britten	introduces	VVZ	VV	MM2_to bring something into existence or use for the first time	MM2_to tell someone another person’s name when they meet for the first time	no	no					
4994	TCS09-1.1_Sieck_Britten	her	DPS	DT0			no	no					
4995	TCS09-1.1_Sieck_Britten	idea	NN1	NN0	MM1_[COUNTABLE] a thought that you have about how to do something or how to deal with something		no	no					
4996	TCS09-1.1_Sieck_Britten	that	CJT	CJC			no	no					
4997	TCS09-1.1_Sieck_Britten	the	AT0	AT0			no	no					
4998	TCS09-1.1_Sieck_Britten	progress	NN1	NN0	? MM1_the process of developing or improving; ich: das Voranschreiten der Musik	MM2-MAINLY LITERARY forward movement	MRW-indirect	yes	motion	ESM	neutral	“that the progress of each stratum is controlled not only by its own pattern of repetition, 	purposes are destinations
4999	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
5000	TCS09-1.1_Sieck_Britten	each	DT0	DT0			no	no					
5001	TCS09-1.1_Sieck_Britten	stratum	NN1	NN0	? MM1_a group or class in society	MM1_SCIENCE a layer of a particular type of rock	MRW-indirect	yes	physical structure			 her idea “that the progress of each stratum is controlled not only by its own pattern of repetition, but also by the patterns of repetition in other simultaneously occurring strata.	
5002	TCS09-1.1_Sieck_Britten	is	VBZ	VV			no	no					
5003	TCS09-1.1_Sieck_Britten	controlled	VVN	VV	MM3_to make a machine, system, vehicle etc move or operate in the way that you want it to	MM2_to make people behave in the way that you want them to behave	WIDLII	yes	HUMAN			the_AT0 progress_NN1 of_PRF each_DT0 stratum_NN1 is_VBZ controlled_VVN not_XX0 only_AV0 by_PRP its_DPS own_DT0 pattern_NN1 of_PRF repetition_NN1,	
5004	TCS09-1.1_Sieck_Britten	not	XX0	XX0			no	no					
5005	TCS09-1.1_Sieck_Britten	only	AV0	AV0			no	no					
5006	TCS09-1.1_Sieck_Britten	by	PRP	PRP	MM1a_used, especially with passive verbs, for showing who does something or what causes something		no	no					
5007	TCS09-1.1_Sieck_Britten	its	DPS	DT0			no	no					
5008	TCS09-1.1_Sieck_Britten	own	DT0	DT0			no	no					
5009	TCS09-1.1_Sieck_Britten	pattern	NN1	NN0	?MM1_a series of actions or events that together show how things normally happen or are done	MM2_a set of lines, shapes, or colours that are repeated regularly	MRW-indirect	yes	synaesthetic			the_AT0 progress_NN1 of_PRF each_DT0 stratum_NN1 is_VBZ controlled_VVN not_XX0 only_AV0 by_PRP its_DPS own_DT0 pattern_NN1 of_PRF repetition_NN1,	
5010	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
5011	TCS09-1.1_Sieck_Britten	repetition,	NN1	NN0	MM1_[UNCOUNTABLE] the act of repeating something		no	yes					
5012	TCS09-1.1_Sieck_Britten	but	CJC	CJC			no	no					
5013	TCS09-1.1_Sieck_Britten	also	AV0	AV0			no	no					
5014	TCS09-1.1_Sieck_Britten	by	PRP	PRP			no	no					
5015	TCS09-1.1_Sieck_Britten	the	AT0	AT0			no	no					
5016	TCS09-1.1_Sieck_Britten	patterns	NN2	NN0	?MM1_a series of actions or events that together show how things normally happen or are done	MM2_a set of lines, shapes, or colours that are repeated regularly	MRW-indirect	yes	synaesthetic			the_AT0 patterns_NN2 of_PRF repetition_NN1 in_PRP other_AJ0 simultaneously_AV0 occurring_VVG strata_NN2.	
5017	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
5018	TCS09-1.1_Sieck_Britten	repetition	NN1	NN0	MM1_[UNCOUNTABLE] the act of repeating something		no	yes					
5019	TCS09-1.1_Sieck_Britten	in	PRP	PRP			MRW-indirect	yes	container			the_AT0 patterns_NN2 of_PRF repetition_NN1 in_PRP other_AJ0 simultaneously_AV0 occurring_VVG strata_NN2.	
5020	TCS09-1.1_Sieck_Britten	other	AJ0	AJ0			no	no					
5021	TCS09-1.1_Sieck_Britten	simultaneously	AV0	AV0	MM_happening or done at the same time		no	no					
5022	TCS09-1.1_Sieck_Britten	occurring	VVG	VV	MM2_FORMAL to exist or be found somewhere	MM1_to happen, especially unexpectedly	no	no					
5023	TCS09-1.1_Sieck_Britten	strata.	NN2	NN0	? MM1_a group or class in society	MM1_SCIENCE a layer of a particular type of rock	MRW-indirect	yes	physical structure			 her idea “that the progress of each stratum is controlled not only by its own pattern of repetition, but also by the patterns of repetition in other simultaneously occurring strata.	
5024	TCS09-1.1_Sieck_Britten	The	AT0	AT0			no	no					
5025	TCS09-1.1_Sieck_Britten	superimposed	AJ0	AJ0	MM2_to add something such as a feature or idea from one system or situation to another;  LM2_ to combine two systems, ideas, opinions etc so that one influences the other	MM1_to put one image on top of another so that both can be seen; LM1_to put one picture, image, or photograph on top of another so that both can be partly seen	MRW-indirect	yes	physical structure			The superimposed repetitions	
5026	TCS09-1.1_Sieck_Britten	repetitions,	NN2	NN0	MM1_[UNCOUNTABLE] the act of repeating something		no	yes					
5027	TCS09-1.1_Sieck_Britten	then,	AV0	AV0	MM3_as a result	MM2_used for introducing the next thing that happens	no	no					
5028	TCS09-1.1_Sieck_Britten	are	VBB	VV			no	no					
5029	TCS09-1.1_Sieck_Britten	part	NN1	NN0	abstract	concrete	MRW-indirect	yes	physical structure			The_AT0 superimposed_AJ0 repetitions_NN2, then_AV0, are_VBB part_NN1 of_PRF a_AT0 strictly_AV0 controlled_VVN contrapuntal_AJ0 texture._NN0	
5030	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
5031	TCS09-1.1_Sieck_Britten	a	AT0	AT0			no	no					
5032	TCS09-1.1_Sieck_Britten	strictly	AV0	AV0			no	no					
5033	TCS09-1.1_Sieck_Britten	controlled	VVN	VV	MM3_to make a machine, system, vehicle etc move or operate in the way that you want it to	MM2_to make people behave in the way that you want them to behave	WIDLII	yes	other			The_AT0 superimposed_AJ0 repetitions_NN2, then_AV0, are_VBB part_NN1 of_PRF a_AT0 strictly_AV0 controlled_VVN contrapuntal_AJ0 texture._NN0	
5034	TCS09-1.1_Sieck_Britten	contrapuntal	AJ0	AJ0	only in MD_Using counterpoint. Any music that contains two or more voices heard simultaneously.	There is no more basic meaning.	no	yes					
5035	TCS09-1.1_Sieck_Britten	texture.	NN0	NN0	MM2_the effect that is produced when different things combine, for example in music	MM1-the way that something feels when you touch it	MRW-indirect	yes	physical structure			The_AT0 superimposed_AJ0 repetitions_NN2, then_AV0, are_VBB part_NN1 of_PRF a_AT0 strictly_AV0 controlled_VVN contrapuntal_AJ0 texture._NN0	
5036	TCS09-1.1_Sieck_Britten	In short,	AV0	AV0	MMphrase_used for introducing a summary of something that you have just said		no	no					
5037	TCS09-1.1_Sieck_Britten	as	CJS	CJC	conjunction		no	no					
5038	TCS09-1.1_Sieck_Britten	she	PNP	PNP			no	no					
5039	TCS09-1.1_Sieck_Britten	demonstrates	VVZ	VV	MM1_[TRANSITIVE] to show clearly that something is true or that it exists	MM2_[TRANSITIVE] to show someone how to do something by doing it yourself	MRW-indirect	no					
5040	TCS09-1.1_Sieck_Britten	with	PRP	PRP			MRW-indirect	yes	other			she_PNP demonstrates_VVZ with_PRP ostinatos_NN2 from_PRP Symphony_NN1 of_PRF Psalms_NN2, Persphone_NP0,	
5041	TCS09-1.1_Sieck_Britten	ostinatos	NN2	NN0			no	yes					
5042	TCS09-1.1_Sieck_Britten	from	PRP	PRP	MM2c_used for stating what something was originally a part of, ex. the music from Offenbach’s opera	MM4_used for stating where someone or something is removed from	MRW-indirect	yes	source			she_PNP demonstrates_VVZ with_PRP ostinatos_NN2 from_PRP Symphony_NN1 of_PRF Psalms_NN2, Persphone_NP0,	
5043	TCS09-1.1_Sieck_Britten	Symphony	NN1	NN0	title		no	yes					
5044	TCS09-1.1_Sieck_Britten	of	PRF	PRP	title		no	no					
5045	TCS09-1.1_Sieck_Britten	Psalms,	NN2	NN0	title		no	no					
5046	TCS09-1.1_Sieck_Britten	Persphone,	NP0	NN0			no	no					
5047	TCS09-1.1_Sieck_Britten	and	CJC	CJC			no	no					
5048	TCS09-1.1_Sieck_Britten	Les	NP0	NN0			DFMA	no					
5049	TCS09-1.1_Sieck_Britten	Noces,	NP0	NN0			DFMA	no					
5050	TCS09-1.1_Sieck_Britten	the	AT0	AT0			no	no					
5051	TCS09-1.1_Sieck_Britten	cycle	NN1	NN0	MM2_a series of events that happen again and again in the same order or at the same times	MM3_a set of things that a machine does as part of a process	no	yes					
5052	TCS09-1.1_Sieck_Britten	of	PRF	PRP			no	no					
5053	TCS09-1.1_Sieck_Britten	each	DT0	DT0			no	no					
5054	TCS09-1.1_Sieck_Britten	ostinato	NN1	NN0			no	yes					
5055	TCS09-1.1_Sieck_Britten	relates	VVZ	VV	MM1_[INTRANSITIVE/TRANSITIVE] to show or make a connection between two different things		no	no					
5056	TCS09-1.1_Sieck_Britten	to	PRP	PRP	abstract	concrete	MRW-indirect	no					
5057	TCS09-1.1_Sieck_Britten	the	AT0	AT0			no	no					
5058	TCS09-1.1_Sieck_Britten	other	AJ0	AJ0			no	no					
